idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/admin/alerts/incidents/[id]/page.tsx,Y,/admin/alerts/incidents/:id,R8,admin,matrix:96-20:5.1:/admin/alerts/incidents/[id]; matrix:93:5.7:/admin/alerts/incidents/:id; matrix:13-1:bucket-admin; routes:admin.alertIncident; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/alerts/incidents/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/alerts/incidents/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
12,frontend/app/admin/community/comments/visibility/page.tsx,Y,/admin/community/comments/visibility,R4,admin,matrix:96-20:5.1:/admin/community/comments/visibility; matrix:93:5.7:/admin/community/comments/visibility; matrix:13-1:bucket-admin; routes:admin.communityCommentVisibility; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/comments/visibility; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/comments/visibility; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
13,frontend/app/admin/community/moderation/cases/page.tsx,Y,/admin/community/moderation/cases,R4,admin,matrix:96-20:5.1:/admin/community/moderation/cases; matrix:93:5.7:/admin/community/moderation/cases; matrix:13-1:bucket-admin; routes:admin.communityModerationCases; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/moderation/cases; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/moderation/cases; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
14,frontend/app/admin/community/penalties/page.tsx,Y,/admin/community/penalties,R4,admin,matrix:96-20:5.1:/admin/community/penalties; matrix:93:5.7:/admin/community/penalties; matrix:13-1:bucket-admin; routes:admin.communityPenalties / admin.communityPenaltyCreate; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/penalties; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/penalties; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
15,frontend/app/admin/community/policy-change-logs/page.tsx,Y,/admin/community/policy-change-logs,R4,admin,matrix:96-20:5.1:/admin/community/policy-change-logs; matrix:93:5.7:/admin/community/policy-change-logs; matrix:13-1:bucket-admin; routes:admin.communityPolicyChangeLogs; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/policy-change-logs; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/policy-change-logs; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
16,frontend/app/admin/community/ranking/snapshots/page.tsx,Y,/admin/community/ranking/snapshots,R4,admin,matrix:96-20:5.1:/admin/community/ranking/snapshots; matrix:93:5.7:/admin/community/ranking/snapshots; matrix:13-1:bucket-admin; routes:admin.communityRankingSnapshots; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/ranking/snapshots; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/ranking/snapshots; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
17,frontend/app/admin/community/reports/page.tsx,Y,/admin/community/reports,R4,admin,matrix:96-20:5.1:/admin/community/reports; matrix:93:5.7:/admin/community/reports; matrix:13-1:bucket-admin; routes:admin.communityReports; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/reports; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/reports; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
18,frontend/app/admin/community/risk-signals/page.tsx,Y,/admin/community/risk-signals,R4,admin,matrix:96-20:5.1:/admin/community/risk-signals; matrix:93:5.7:/admin/community/risk-signals; matrix:13-1:bucket-admin; routes:admin.communityRiskSignals; align:n/a-api,nav;cta;browse,e2e/smoke-community.spec.ts; npm run e2e:market-community,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/community/risk-signals; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R4 user_path=/admin/community/risk-signals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
19,frontend/app/admin/compliance/requests/[requestId]/events/page.tsx,Y,/admin/compliance/requests/:requestId/events,R8,admin,matrix:96-20:5.1:/admin/compliance/requests/[requestId]/events; matrix:93:5.7:/admin/compliance/requests/:requestId/events; matrix:13-1:bucket-admin; routes:admin.complianceDataRequestEvents; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/compliance/requests/[requestId]/events; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/compliance/requests/:requestId/events; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
20,frontend/app/admin/compliance/requests/[requestId]/update/page.tsx,Y,/admin/compliance/requests/:requestId/update,R8,admin,matrix:96-20:5.1:/admin/compliance/requests/[requestId]/update; matrix:93:5.7:/admin/compliance/requests/:requestId/update; matrix:13-1:bucket-admin; routes:admin.complianceDataRequestUpdate; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/compliance/requests/[requestId]/update; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/compliance/requests/:requestId/update; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
21,frontend/app/admin/compliance/requests/page.tsx,Y,/admin/compliance/requests,R7,admin,matrix:96-20:5.1:/admin/compliance/requests; matrix:93:5.7:/admin/compliance/requests; matrix:13-1:bucket-admin; routes:admin.complianceDataRequests; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/compliance/requests; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/compliance/requests; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
22,frontend/app/admin/config/page.tsx,Y,/admin/config,R7,admin,matrix:96-20:5.1:/admin/config; matrix:93:5.7:/admin/config; matrix:13-1:bucket-admin; routes:admin.configReleases（间接）; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/config; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/config; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
23,frontend/app/admin/config/releases/[id]/page.tsx,Y,/admin/config/releases/:id,R8,admin,matrix:96-20:5.1:/admin/config/releases/[id]; matrix:93:5.7:/admin/config/releases/:id; matrix:13-1:bucket-admin; routes:admin.configRelease; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/config/releases/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/config/releases/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
24,frontend/app/admin/config/releases/page.tsx,Y,/admin/config/releases,R7,admin,matrix:96-20:5.1:/admin/config/releases; matrix:93:5.7:/admin/config/releases; matrix:13-1:bucket-admin; routes:admin.configReleases; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/config/releases; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/config/releases; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
25,frontend/app/admin/cross-check/page.tsx,Y,/admin/cross-check,R7,admin,matrix:96-20:5.1:/admin/cross-check; matrix:93:5.7:/admin/cross-check; matrix:13-1:bucket-admin; routes:admin.crossCheck; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/cross-check; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/cross-check; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
26,frontend/app/admin/disputes/[id]/page.tsx,Y,/admin/disputes/:id,R8,admin,matrix:96-20:5.1:/admin/disputes/[id]; matrix:93:5.7:/admin/disputes/:id; matrix:13-1:bucket-admin; routes:admin.disputeById; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/disputes/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/disputes/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
27,frontend/app/admin/disputes/page.tsx,Y,/admin/disputes,R7,admin,matrix:96-20:5.1:/admin/disputes; matrix:93:5.7:/admin/disputes; matrix:13-1:bucket-admin; routes:admin.disputes; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/disputes; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/disputes; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
28,frontend/app/admin/drift-summary/page.tsx,Y,/admin/drift-summary,R7,admin,matrix:96-20:5.1:/admin/drift-summary; matrix:93:5.7:/admin/drift-summary; matrix:13-1:bucket-admin; routes:admin.driftSummary; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/drift-summary; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/drift-summary; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
29,frontend/app/admin/fee-router/page.tsx,Y,/admin/fee-router,R7,admin,matrix:96-20:5.1:/admin/fee-router; matrix:93:5.7:/admin/fee-router; matrix:13-1:bucket-admin; routes:admin.feeRouterRoutedEvents; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/fee-router; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/fee-router; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
30,frontend/app/admin/finance-reconciliation/page.tsx,Y,/admin/finance-reconciliation,R7,admin,matrix:96-20:5.1:/admin/finance-reconciliation; matrix:93:5.7:/admin/finance-reconciliation; matrix:13-1:bucket-admin; routes:admin.（对账聚合；间接）; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/finance-reconciliation; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/finance-reconciliation; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
31,frontend/app/admin/finance/page.tsx,Y,/admin/finance,R7,admin,matrix:96-20:5.1:/admin/finance; matrix:93:5.7:/admin/finance; matrix:13-1:bucket-admin; routes:admin.financeSummary; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/finance; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/finance; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
32,frontend/app/admin/flags/page.tsx,Y,/admin/flags,R7,admin,matrix:96-20:5.1:/admin/flags; matrix:93:5.7:/admin/flags; matrix:13-1:bucket-admin; routes:admin.flags / admin.flagPublish; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/flags; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/flags; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
33,frontend/app/admin/guides/[id]/page.tsx,Y,/admin/guides/:id,R8,admin,matrix:96-20:5.1:/admin/guides/[id]; matrix:93:5.7:/admin/guides/:id; matrix:13-1:bucket-admin; routes:admin.guideById; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/guides/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/guides/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
34,frontend/app/admin/guides/page.tsx,Y,/admin/guides,R7,admin,matrix:96-20:5.1:/admin/guides; matrix:93:5.7:/admin/guides; matrix:13-1:bucket-admin; routes:admin.guides; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/guides; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/guides; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
35,frontend/app/admin/indexer/page.tsx,Y,/admin/indexer,R7,admin,matrix:96-20:5.1:/admin/indexer; matrix:93:5.7:/admin/indexer; matrix:13-1:bucket-admin; routes:admin.indexerHealth; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/indexer; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/indexer; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
36,frontend/app/admin/indexer/reconcile-reports/page.tsx,Y,/admin/indexer/reconcile-reports,R7,admin,matrix:96-20:5.1:/admin/indexer/reconcile-reports; matrix:93:5.7:/admin/indexer/reconcile-reports; matrix:13-1:bucket-admin; routes:admin.indexerReconcileReports / Export; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/indexer/reconcile-reports; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/indexer/reconcile-reports; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
37,frontend/app/admin/indexer/reconcile/[id]/page.tsx,Y,/admin/indexer/reconcile/:id,R8,admin,matrix:96-20:5.1:/admin/indexer/reconcile/[id]; matrix:93:5.7:/admin/indexer/reconcile/:id; matrix:13-1:bucket-admin; routes:admin.indexerReconcileReport; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/smoke-admin.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/indexer/reconcile/[id]; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R8 user_path=/admin/indexer/reconcile/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
38,frontend/app/admin/internal-tools/audits/page.tsx,Y,/admin/internal-tools/audits,R7,admin,matrix:96-20:5.1:/admin/internal-tools/audits; matrix:93:5.7:/admin/internal-tools/audits; matrix:13-1:bucket-admin; routes:admin.internalToolAudits; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/internal-tools/audits; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/internal-tools/audits; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
39,frontend/app/admin/jobs/page.tsx,Y,/admin/jobs,R7,admin,matrix:96-20:5.1:/admin/jobs; matrix:93:5.7:/admin/jobs; matrix:13-1:bucket-admin; routes:admin.jobs; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:5.1:/admin/jobs; spec-matrix: ① filled from docs/spec/96-20 §5 + 93 §5 bucket + 13-1 bucket; human: B.3 rg + E2E + 五态 before PASS,tt:appendix-e-enriched rnd=R7 user_path=/admin/jobs; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
